CATID;BREEDGROUP;SEX;AGE_BEHAVIOUR;OTHER_CATS;problematic_behavior;seeks_physical_contact_people;Opens_doors;Rests _in_secure_places;Reacts_to_video_TV;Refuses_litter_box_dirty;Freezes_examined_veterinarian;Seems_confident;comfortable_social_gatherings;easily_scared_things_sounds ;Defecates_inappropriate_places;Unexpectedly_scratches _bites;greets_unfamiliar_children;Enjoys_tearing_cardboard;Runs_ hides_noise_inside;Runs_hide_noise_outside;Asks_in_out_ rooms;Freezes_nothing visible;Tries_wake_up;exhibits_bursts_running;Talks_to_people;increased_activity_morning;destroys_left_alone;Reacts_catnip;Chases_animals;purrs_petted;scratch_bite_human_possession_prey;comfortable_familiar_children;Growls_hisses_familiar_cat_staring;scratch_bite_familiar_dogs;Growls_hisses_examined_veterinarian;Growls_hisses_unfamiliar_dogs;lie_things_used_people;excited_new_toys;Runs_while_playing;Greets_unfamiliar_cats;Growls_hisses_familiar_dogs;restlessness_home_modified;eats_house_plants;eye_contact_familiar_people;Scratches_inappropriate_objects;scratch_bite_petted_base_tail;hallway_household_leave;not_want_use_same_litter_box;wrong_targeted_aggression;Enjoys_jumping_high;restlessness_member_household_affection_person;Gets_excite_small_animals_window;scratch_bite_petted_belly;Carries_toy;listens_everything_you_say;playing_chases_household_members;Growls_hisses_nails_clipped;Growls_hisses_medicine_familiar;Chases_imaginary_objects;scratch_bite_bathed;Growls_ hisses_bathed;increased_activity_evening;Runs_unfamiliar_cats;scratch_bite_brushed;Reacts_similarly_situations;Stares_unfamiliar_people;self_mutilation;investigates_new_objects;Growls_hisses_approached_familiar_cat_while_eating;scratch_bite_unfamiliar_dogs;restlessness_other_cats_fight;excessive_ grooming;restlessness_unfamiliar_objects;Plays_fetch;Gets_along _with_cats;Seeks_company_other_cats;baby_cry_check;Growls_hisses_brushed;Chase_tail;scratch_bite_examined_veterinarian;Rests_warm_appliances;scratch_bite_nails_clipped;greets_kittens;Moves_elegantly;scratch_bite _medicine_familiar_person;Hides_household_member_leave;Urinates_inappropriate;Escapes_unfamiliar_people;Is_persevering;Stalks_moving_objects;meowing _left_alone;Sprays_indoors;adapts_changes;Squirms_picked_ held_arms;Brings_prey_animals;Enjoys_playing_cats;Runs_unfamiliar_dogs;waiting_household_member_arrives;sudden_licking_chewing_body;Comes_called;Escapes_threatened_familiar_cat;Chews_cables;Reacts_different_events_vocalizing;scratch_bite_familiar_cat_hissing;Growls_hisses_petted_tail;Chews_plastics;Growls_hisses_unfamiliar_person_pet;Growls_hisses_unfamiliar_children;Chase_shadows;escape_home;comfortable_petted_unfamiliar_people;greets_unfamiliar_adults;Active;Prefers_types_cat_litter;restlessness_member_household_affection_another_pet;Seeks_physical_contact_other_cats;Growls_hisses_approached_familiar_cat_resting;Friendly_unfamiliar_dogs;Growls_hisses_approached_human_possession_of_prey;finds_new_ways_get_attention;learns_associate_things;Concentration_not_disturbed;Sucks_chews_fabrics;Growls_hisses_unfamiliar_adults;Purrs_sitting_lap;Chases_bite_moving_legs;not_recognize_familiar_cat_if_smells_odd;Kneads_objects;Squirms_picked_to_lap;substrate_preference_inappro;interactive_play_people;Repeats_meaningless_movements;comfortable_playing _unfamiliar_people;Walks_tail_upright;not_approach_people_right_away;Rests_elevated_places;comfortable_unfamiliar_places;responds_commands;Picky;Asks_food;restlessness_household_member_leave;exited_other_pets;Human_oriented;fearfulness;human_aggression;activity_playfulness;cat_sociability;human_sociability;litterbox_issues;excessive_grooming
4178;House_cat;Male;8,1046547;YES;No;5;4;5;4;4;5;4;2;5;2;1;2;2;4;1;5;4;5;4;4;3;1;5;4;5;1;;2;1;1;;5;5;5;4;2;2;5;5;2;1;4;1;1;5;1;5;1;4;5;1;1;1;3;1;1;2;4;1;4;4;1;4;2;;3;1;1;4;5;4;;1;1;1;2;1;4;4;1;2;1;2;3;5;1;1;4;1;;4;;5;1;3;4;1;3;1;1;1;1;1;4;3;4;4;2;;1;5;1;;1;2;4;;3;1;5;1;1;5;2;5;5;4;4;4;1;5;1;;3;4;3;;3;0,143701535;-0,764020154;0,11097601;0,800623263;0,504890232;0,17734715;-0,346495883
4179;Ocicat;Male;14,69952088;YES;No;5;5;5;5;2;1;5;4;2;1;2;4;4;2;1;5;5;4;4;5;4;2;4;5;5;1;4;2;4;2;5;5;5;5;1;5;2;1;5;1;2;4;1;1;5;1;5;2;5;4;2;2;2;3;5;5;2;4;2;4;2;1;5;1;4;2;1;2;5;4;2;2;4;1;4;5;2;1;4;4;2;1;2;5;5;1;1;4;1;;4;4;4;4;4;2;1;5;4;2;4;1;1;5;4;5;5;2;4;1;2;1;1;1;4;5;;1;1;5;1;4;5;1;;5;1;5;5;1;5;2;;5;5;2;;5;-0,610329241;1,309949816;0,594710284;-0,769377931;1,133569052;-0,715105618;0,68010646
4180;Landrace_Cat_Longhair;Male;unknown;unknown;unknown;5;1;4;4;1;5;4;4;5;1;1;;1;5;5;2;4;5;2;5;2;1;5;;4;1;;1;;1;;5;4;5;;;4;5;5;2;1;5;1;1;5;1;5;1;5;5;4;1;1;1;1;1;5;;1;4;2;1;1;1;;;1;1;5;4;5;;1;1;1;4;1;;2;1;1;1;2;1;5;;1;2;4;;5;;5;1;4;;1;4;1;1;1;1;;4;;4;5;4;;1;4;1;;1;2;4;;1;1;5;1;1;5;5;;5;1;4;2;4;5;1;;4;4;4;;4;0,443017734;-0,649781332;0,340003003;0,788642121;0,936106838;-0,442074399;-0,174581274
4181;Sphynx_and_Devon_Rex;Male;3,932092004;YES;No;5;2;2;2;2;2;5;5;2;1;1;;1;2;1;4;1;4;2;5;4;1;;;5;1;;1;1;1;;2;4;4;;1;1;4;;1;1;2;1;1;5;1;4;1;2;4;1;1;1;1;1;1;2;;;3;;1;5;1;;;1;1;2;4;4;;1;1;1;5;1;;5;1;1;1;1;4;4;2;1;5;2;;3;;4;1;5;;1;4;1;1;1;1;;4;1;5;5;4;2;1;4;1;;1;3;5;3;1;1;5;1;2;5;2;;2;1;5;5;1;2;;5;2;3;1;;5;-1,023298085;-0,737540459;-0,829857567;-0,350127068;0,462991596;-0,722069388;-0,686447475
4182;Other;Male;4,277108434;YES;A_little;5;1;2;4;1;1;4;1;4;1;1;2;3;3;2;4;3;1;5;5;2;4;3;5;4;1;;1;;1;1;5;5;5;4;;1;5;3;1;1;4;1;1;4;2;5;1;4;5;5;1;1;2;1;1;5;3;1;3;4;1;4;1;1;1;3;2;4;5;5;;1;1;1;5;1;;1;1;1;1;4;4;5;1;1;5;3;;5;5;4;4;5;3;1;5;1;1;5;1;1;5;2;2;3;5;1;1;5;1;2;1;4;5;5;1;1;5;1;1;1;3;;3;1;4;5;4;3;1;5;2;5;1;5;1;0,891841417;-0,538869019;0,848857655;1,479487448;0,116733765;-0,782944592;2,312006021
4183;House_cat;Male;1,034199726;NO;No;5;2;;4;1;1;5;4;2;1;2;2;4;2;4;4;4;1;4;5;2;1;2;5;5;2;4;;;1;;5;4;5;;;2;;5;2;4;4;;;2;2;5;1;4;4;4;;1;2;1;1;4;;1;4;1;1;4;;;;1;1;4;;;;1;5;1;2;;;4;;1;1;2;2;5;2;1;4;1;;;;4;2;5;;2;4;;1;4;1;1;5;1;4;4;3;;;;;;1;4;5;;2;1;5;1;;4;1;;4;1;4;5;4;2;;;2;2;4;;;-0,187401342;-0,223356744;0,498469446;-0,057588525;1,232239912;-0,711099282;0,093296957
4184;Sphynx_and_Devon_Rex;Male;1,794520548;NO;A_little;5;5;3;3;1;3;4;2;4;1;1;3;2;4;3;5;4;4;5;5;4;1;;5;4;1;4;;1;1;4;5;5;5;5;1;2;5;4;1;1;5;;;5;4;5;1;4;4;4;1;1;2;2;1;5;1;1;5;4;1;5;1;;;3;2;3;;;;1;1;1;5;1;5;5;1;1;1;4;5;5;4;1;4;2;;5;4;5;3;5;;1;4;;1;2;1;1;4;4;2;3;4;1;;;1;4;1;4;4;;2;1;4;1;;4;2;;4;1;4;4;5;4;2;;4;4;4;;2;0,847911064;-0,510514314;1,27335325;0,635088417;0,898815454;-0,237771311;2,365177758
4185;House_cat;Male;2,255474453;unknown;unknown;5;4;4;4;4;4;5;1;4;1;1;2;4;5;5;4;4;4;5;5;4;2;4;5;5;1;;1;;1;;4;5;4;;;1;2;5;2;1;2;1;1;5;3;4;1;2;4;4;2;1;4;;;5;4;1;4;;1;4;1;;2;1;2;4;4;5;;1;1;1;4;1;;4;1;2;1;5;2;5;2;1;4;4;;5;;5;1;4;4;1;4;2;1;2;;;;2;;;4;3;2;5;2;;;4;4;4;4;;4;2;1;4;4;;4;2;;5;;2;;;4;4;4;;4;0,798515352;-0,250298099;0,661743695;0,843537184;0,960260753;0,11045839;0,000232126
4186;House_cat;Male;3,378507871;YES;A_little;4;4;2;4;5;1;5;5;2;1;2;4;4;4;1;5;2;4;5;5;3;1;2;5;4;1;5;3;2;1;4;4;4;5;5;1;1;5;5;3;4;5;1;1;5;2;5;5;5;4;5;1;1;1;4;1;4;1;2;4;5;1;5;1;4;2;1;1;5;5;5;4;1;1;1;4;4;5;4;4;2;2;1;5;5;4;1;5;3;;5;4;5;1;4;3;1;4;3;1;5;1;1;5;1;4;5;4;5;2;3;1;2;1;4;5;4;2;1;3;1;1;5;2;4;5;1;5;5;2;5;4;5;5;5;3;4;3;-0,799098686;0,876382628;1,424603913;1,00087816;0,099960923;0,48720746;-0,121807594
4187;Landrace_Cat_Shorthair;Male;4,151150055;YES;No;5;4;5;1;1;2;5;2;4;1;1;;4;5;1;2;4;2;5;5;2;1;4;;5;1;;1;;1;;2;5;5;5;;2;4;5;1;1;2;1;1;5;1;5;1;4;4;5;1;1;5;1;1;5;;1;4;2;1;5;1;;1;1;1;1;5;5;;1;2;1;2;1;;5;1;1;1;5;4;5;1;1;4;2;;5;;4;1;4;1;1;4;1;1;3;1;1;4;1;2;2;5;4;4;5;1;;1;2;4;;1;1;4;1;4;2;5;;2;2;3;5;4;5;;;5;4;2;;3;0,813762357;-0,691171538;0,586469715;1,183319697;-0,256294243;-0,699509108;-0,503414871
4188;House_cat;Male;9,29373118;YES;No;5;5;4;4;2;4;5;1;4;1;2;1;4;5;1;5;4;1;4;5;1;1;2;4;4;1;1;4;;1;;2;4;5;1;;4;4;5;5;2;1;2;4;4;1;5;4;1;5;5;;1;4;;;4;2;5;5;5;1;2;1;;2;1;2;2;4;4;;1;4;1;5;;;5;1;5;1;5;4;5;1;1;2;4;;5;;1;1;4;4;2;4;4;1;1;1;;5;1;1;1;4;4;2;2;1;;1;4;5;;1;1;5;1;5;5;4;;2;1;1;4;4;4;;;2;2;1;;2;1,859010462;0,369992057;0,438968653;0,225250382;-0,133540467;0,110581838;-0,629481046
4189;Landrace_Cat_Shorthair;Male;10,10181728;unknown;unknown;5;4;3;4;4;;5;4;2;1;1;;4;2;1;5;3;1;4;4;;2;5;;4;1;;1;;3;5;4;1;4;;;1;4;5;5;1;5;;1;5;1;2;1;1;4;4;1;5;2;;;4;;1;5;;;5;1;;;1;1;1;5;;;1;1;4;5;1;;2;4;1;1;3;4;3;;1;4;3;;;;4;;5;;1;1;;1;5;1;;2;1;4;5;2;;1;;;1;1;3;5;;4;1;5;1;;4;3;;1;;3;5;2;5;;;3;5;4;2;4;-0,520386079;0,759937922;-1,561894934;0,301001829;0,759194016;-0,079415841;0,012719078
4190;House_cat;Male;10,12372417;NO;No;5;2;5;2;5;1;5;4;4;1;2;5;2;4;4;5;1;1;5;5;2;1;5;5;5;1;5;5;5;2;5;5;2;5;;5;1;5;5;4;1;5;1;1;5;1;4;1;1;5;1;1;1;2;5;5;5;;1;4;2;1;5;2;5;1;1;1;1;5;4;;1;1;2;5;1;;4;2;1;4;2;4;4;1;1;5;2;;5;5;5;1;4;1;1;5;5;1;5;1;1;4;4;5;5;2;5;1;5;1;1;1;4;4;;4;1;5;1;4;4;2;5;1;1;5;4;2;5;3;;5;5;1;1;4;-0,847144043;-0,23709767;-0,695852646;0,572597836;1,136753217;1,398137705;-0,562388455
4191;Cornish_Rex;Male;14,55167693;YES;A_little;5;1;2;1;1;4;4;4;2;1;1;1;1;2;1;1;1;2;2;5;2;1;5;;5;1;;3;;1;;3;3;2;4;;2;4;4;1;1;2;1;2;4;;4;1;2;5;1;1;1;1;;;4;1;1;4;3;1;4;1;;4;1;1;1;4;3;;1;1;1;5;1;5;4;1;1;1;1;4;3;1;1;4;2;;1;;5;1;5;3;2;4;2;1;1;1;4;2;2;5;5;3;;4;3;2;1;1;4;3;;1;1;5;1;1;3;1;;2;1;5;5;1;2;3;;1;5;2;;5;-0,654644246;-0,64368166;-2,049388563;-1,500165333;1,053655222;-0,569166279;-0,295605956
4192;Landrace_Cat_Shorthair;Male;unknown;YES;No;5;1;2;4;2;3;5;4;4;1;1;4;4;1;1;5;4;1;4;5;1;1;5;5;5;1;5;1;3;1;2;2;5;5;2;3;1;1;5;2;1;4;1;1;4;1;5;1;2;5;4;3;1;5;3;3;4;2;1;5;4;1;5;1;;1;1;1;1;2;5;4;1;4;2;5;3;;5;1;1;1;1;5;5;3;5;5;5;4;5;5;4;1;5;4;1;5;1;1;4;1;1;5;4;5;5;3;3;4;5;1;;2;4;5;;1;1;5;1;2;4;2;;2;1;5;5;1;1;;;4;1;4;;3;-1,326897928;0,084769456;0,7712921;0,693305152;0,461961106;0,869860993;-0,430364015
4193;Landrace_Cat_Shorthair;Male;unknown;YES;Some;5;1;4;2;1;1;5;4;2;1;5;4;4;2;1;2;1;1;4;2;1;1;5;;5;5;5;4;1;5;1;5;4;5;5;1;2;2;5;1;1;4;1;5;4;1;5;4;1;5;5;1;1;4;4;4;3;1;4;1;4;1;5;5;1;2;1;1;1;4;4;;2;1;5;4;1;;2;2;1;1;2;5;5;2;1;5;1;;5;1;5;1;5;2;1;4;5;1;1;1;1;5;1;5;5;5;2;4;5;1;3;5;5;5;1;1;1;5;5;1;1;1;;5;1;5;5;2;2;4;;1;5;4;;4;-1,193012487;2,341644289;1,384069955;0,248721882;1,154971618;-0,144508391;-0,498093275
4195;Russian_Blue;Male;1,315068493;YES;A_little;5;5;5;4;2;1;5;2;1;1;1;4;4;1;1;5;1;4;5;5;4;5;5;4;5;1;5;1;;1;;5;5;5;4;;1;2;2;2;1;5;1;1;5;2;5;2;1;5;5;1;1;4;;;4;1;1;4;4;1;5;1;;;1;1;1;;5;;1;4;1;5;1;;5;1;1;1;2;5;5;;1;5;4;;5;;4;1;5;1;1;4;3;1;1;1;1;5;4;5;5;5;2;1;5;1;;1;4;5;2;1;1;5;1;;1;2;;5;1;5;5;2;5;5;;1;4;2;4;3;-0,837404651;-0,615938034;1,074837865;0,851445544;0,377691129;-0,603067178;-0,428521694
4196;Ragdoll;Male;3,436002738;YES;A_little;5;1;4;4;2;4;4;2;5;1;1;;2;5;4;5;1;4;5;5;4;1;2;;5;1;;;;1;;4;5;5;;;2;;5;1;1;4;1;1;2;1;4;1;4;5;5;1;1;1;1;1;4;;1;4;4;1;4;1;;2;1;1;1;5;5;;1;1;1;4;1;;5;1;1;1;5;1;5;1;1;4;1;;5;;5;1;4;;1;5;1;1;1;1;1;5;1;1;4;2;1;1;5;1;;1;4;2;1;1;1;5;1;1;1;1;;4;1;4;5;5;2;1;4;1;5;1;;4;1,140813356;-0,924216021;-0,503616361;1,199066904;0,884105265;-0,787069898;-0,506219119
4197;House_cat;Male;3,584337349;YES;No;5;4;1;4;1;1;4;4;1;1;1;;5;2;1;2;4;4;4;5;4;1;5;;5;1;;1;;4;;5;4;3;;;1;5;5;5;1;4;1;1;4;1;4;1;1;5;2;;1;4;4;1;4;;1;5;4;1;5;1;;1;1;1;1;5;5;;1;1;4;4;;;5;1;1;1;2;5;4;;1;5;2;;4;;5;1;4;1;1;4;1;1;4;2;;4;;4;4;4;;1;5;1;;1;3;4;;1;1;5;1;4;2;4;;1;1;4;5;1;4;;;2;4;1;5;4;-0,414898349;0,26331962;-0,739460018;0,378436521;0,102219707;-0,782303324;-0,328346396
4198;Sphynx_and_Devon_Rex;Male;2,98973306;YES;No;5;1;1;1;1;1;5;5;1;1;1;;2;1;1;4;1;2;5;4;1;1;4;5;2;1;;1;1;1;1;4;4;5;;1;1;4;5;1;1;4;1;1;4;1;5;1;5;4;4;2;1;2;1;1;4;4;;5;1;1;5;1;1;1;1;1;5;5;5;;;1;1;5;1;1;2;1;1;1;1;2;4;1;1;5;2;;5;3;5;1;5;1;1;4;1;1;1;1;;5;1;5;5;2;4;1;5;1;;1;4;4;1;1;1;4;1;1;5;2;;5;1;5;5;1;4;5;;5;1;1;;3;-1,162755305;-0,559537963;0,141862214;0,831285086;-0,659135767;-0,767091879;-0,305035087
4199;Somali;Male;2,691307324;YES;A_little;4;4;2;2;1;2;2;1;5;1;4;1;2;2;2;2;4;1;4;4;1;1;2;5;5;1;;1;;1;5;4;4;5;;;1;5;2;4;2;1;1;;5;1;5;4;4;4;4;1;1;2;2;1;5;;2;5;1;1;5;1;;2;1;1;4;4;4;;1;1;1;4;1;;5;1;1;1;5;2;5;1;1;5;2;;4;4;4;1;4;4;1;4;2;1;1;1;;5;1;1;1;4;;1;4;1;1;1;2;4;;1;1;5;1;1;5;2;;2;1;2;5;5;2;2;;2;4;1;5;3;1,469910012;-0,509812962;0,253479179;0,192506897;-0,864803896;-0,991713354;-0,651762521
4200;Landrace_Cat_Shorthair;Male;9,206131946;unknown;unknown;5;4;2;4;4;1;5;4;4;1;1;2;4;2;2;5;4;5;4;5;4;1;1;4;5;1;4;1;1;1;1;4;4;4;5;1;2;1;5;4;2;5;4;1;4;1;5;4;1;4;1;1;1;2;;;4;1;1;4;4;1;5;1;1;;1;1;1;;;;1;1;1;4;1;5;4;1;1;2;1;4;4;;1;4;2;4;5;1;5;1;4;2;1;4;1;1;4;1;1;4;2;4;4;2;2;4;;1;5;1;4;5;;1;1;4;2;;2;2;;1;4;5;5;1;4;4;4;1;5;4;2;2;-0,594400674;-0,226008971;-0,148563431;0,408865695;0,480001779;1,288929798;-0,285509172
4201;House_cat;Male;14,97878166;YES;Some;2;4;4;4;2;5;5;1;4;1;3;1;4;5;4;5;4;1;2;4;2;1;4;5;4;4;1;2;;1;4;4;4;5;1;;1;2;2;2;2;2;1;2;2;1;5;1;2;4;2;1;1;4;;;2;1;1;4;5;1;4;1;3;;1;1;4;5;2;;1;1;1;2;1;;4;1;1;2;5;4;5;1;1;5;5;4;2;1;5;4;4;1;1;4;1;2;1;5;5;4;5;1;1;1;3;2;2;1;;2;1;5;;1;5;3;1;4;2;4;2;2;1;1;2;4;1;;;5;5;2;4;2;3,033508869;1,047454577;0,033412735;-1,612132703;-1,850568388;-0,328348111;0,496539303
4202;House_cat;Male;15,15126626;YES;No;5;5;3;2;2;5;5;2;4;1;4;;2;5;5;5;4;4;4;5;2;1;5;4;4;3;;5;;1;;1;4;5;5;;3;1;5;1;1;4;1;1;4;1;4;5;5;5;1;1;1;1;4;4;3;1;1;3;5;1;5;1;;1;1;1;5;5;4;;1;1;1;1;1;5;5;1;1;1;2;5;5;;4;5;4;;5;;5;1;5;2;1;5;1;1;;1;;5;1;5;4;2;1;1;5;1;;4;5;5;;5;1;4;1;1;4;5;;5;1;4;5;2;5;;;4;5;1;5;5;-0,216683309;0,294971177;0,765684514;0,409134183;0,317564198;0,741605919;-0,785932184
4203;House_cat;Male;2,150684932;unknown;unknown;5;4;3;5;1;1;5;4;4;1;5;4;1;2;2;4;4;4;5;4;1;5;4;4;2;1;4;;;1;;5;4;5;;;4;5;5;4;1;5;;;4;1;4;1;5;4;1;1;1;4;;;5;;1;4;4;1;5;;;;;1;4;;;;1;4;1;4;1;;5;1;1;1;1;4;5;;1;2;4;;;;5;4;4;;1;5;;1;4;1;1;5;5;4;5;4;4;;;;;1;4;4;;1;1;5;5;;1;5;;5;4;4;3;1;1;2;;4;4;5;;;-0,624347931;0,481779691;1,491213832;-0,056590145;0,389835246;-0,304789428;1,133762008
4204;Bengal;Male;3,836891078;unknown;unknown;5;5;4;5;2;3;5;2;2;1;1;4;5;4;4;5;3;5;5;5;4;2;4;5;5;2;4;1;2;1;2;5;5;5;2;1;1;5;5;4;1;5;1;1;5;4;5;1;5;5;5;4;2;2;1;1;2;3;1;4;4;1;2;4;1;;1;1;2;4;5;;1;1;1;4;2;;5;3;1;1;2;3;5;4;1;5;4;;5;4;5;1;5;2;3;5;3;1;1;1;1;5;2;3;4;5;5;2;5;1;2;4;5;5;3;1;1;5;1;2;5;4;;2;1;4;4;4;5;3;5;1;5;3;5;3;-0,103959293;0,743272752;1,714700747;0,92582587;1,071086656;-0,037022306;-0,143739378
4205;House_cat;Male;2,406570842;NO;No;5;4;1;3;4;5;5;5;1;5;2;4;4;2;2;4;4;5;5;5;2;2;5;5;5;1;5;1;1;1;1;2;5;5;5;;1;4;5;2;1;4;2;2;2;2;5;4;5;5;4;1;1;4;1;1;4;1;4;5;2;1;5;;;;1;1;5;4;5;;1;1;1;5;2;;3;1;1;1;1;4;5;1;1;5;4;;5;;5;2;5;1;1;5;1;1;1;1;1;5;4;5;5;5;1;1;;1;;1;5;4;5;1;1;;1;;5;5;5;5;1;5;5;1;3;1;5;2;5;1;;3;-0,720440854;0,10713554;0,394143863;0,884286494;0,152777122;1,549066245;0,11966797
4206;Landrace_Cat_Shorthair;Male;15,28542094;YES;No;5;1;2;1;2;5;5;2;4;1;2;1;1;2;2;4;1;1;2;2;4;1;;2;5;1;5;5;;1;4;5;4;4;1;;1;1;1;1;1;3;4;1;1;1;4;1;1;3;1;;1;1;;;2;2;1;5;5;1;4;2;;4;4;2;1;4;4;;1;1;1;4;;;3;2;1;1;3;4;4;1;1;4;4;4;2;4;2;4;4;1;1;1;4;1;1;1;1;4;2;2;2;1;4;1;4;1;;1;1;4;;1;1;5;1;2;1;5;;1;1;2;3;4;1;;;1;4;1;;3;0,416912553;-0,03297397;-1,601505526;-0,595394308;-0,318253594;0,52512009;3,018934192
4207;Landrace_Cat_Longhair;Male;2,247262774;unknown;unknown;4;5;1;4;4;;5;4;2;1;4;;3;2;1;5;5;4;5;5;5;1;;4;2;2;;2;1;;2;5;5;5;4;1;1;4;5;3;2;4;1;1;5;1;5;4;3;4;4;1;;3;5;3;3;1;3;4;;1;4;1;2;;1;1;1;4;5;;2;2;;1;2;4;5;;1;1;2;2;5;;1;5;3;;5;3;5;1;4;4;3;2;;1;4;2;;5;;1;4;4;;2;4;2;3;1;4;5;1;1;1;3;4;3;1;4;;1;2;4;4;4;5;4;;1;5;1;;2;-0,164256274;0,862461024;1,552147031;0,550404131;-1,732567209;-0,165129395;-0,47494124
4208;Abyssinian;Male;14,08286184;unknown;unknown;5;2;1;4;1;1;5;4;1;1;1;2;2;1;1;2;2;5;4;5;2;1;5;4;5;1;2;1;;1;1;2;5;4;;;1;5;5;1;1;4;1;1;5;1;5;1;2;5;2;1;1;1;1;1;4;;1;5;5;1;5;1;1;4;1;1;5;5;4;;1;1;1;5;1;;5;1;1;1;1;4;5;1;1;5;1;;5;1;5;1;5;4;1;5;1;1;1;1;1;5;1;4;4;5;1;4;4;1;5;1;5;5;;1;1;5;1;1;1;1;;1;1;4;5;2;1;5;;1;2;1;;5;-0,468122529;-0,794712206;0,434339967;0,025434166;0,51780399;-1,175791027;-0,751414956
4209;Oriental;Male;4,663623916;YES;No;5;5;2;4;3;4;4;2;4;1;2;4;5;4;2;2;2;2;5;5;2;4;4;4;5;1;4;2;2;2;4;4;4;4;2;2;1;4;4;4;1;4;1;1;5;4;5;1;4;4;5;1;1;2;;;4;2;1;4;4;2;4;2;2;2;1;1;5;5;5;5;1;1;1;2;1;2;5;1;1;1;2;4;5;4;1;4;4;;5;2;5;2;5;2;1;5;2;1;4;1;1;5;1;5;4;5;5;5;5;1;4;1;4;4;2;2;1;5;1;4;5;4;;5;1;5;4;4;4;4;4;5;5;4;;4;-0,091651564;-0,339602085;1,330523072;0,946813936;1,790944756;0,029805918;1,186819998
4210;Other;Male;3,365279299;unknown;unknown;5;3;2;5;5;2;5;5;4;1;1;;5;5;3;5;5;5;5;5;5;3;5;4;5;1;;1;;1;;5;5;5;;;1;5;5;1;1;5;3;1;4;1;5;1;4;5;5;1;1;5;1;1;3;;1;4;2;1;5;1;;3;1;1;1;5;5;;1;1;1;5;1;;4;1;1;5;2;5;5;;1;5;1;;5;;5;1;5;1;5;5;1;1;5;1;1;5;1;5;5;5;5;2;5;1;;1;5;5;;1;1;5;1;5;5;1;5;2;1;5;5;5;4;4;;1;5;5;;5;-0,277915759;-0,868379564;0,79652326;0,891439181;1,679598418;2,307978199;-0,182990705
4211;Landrace_Cat_Longhair;Male;8,759923351;unknown;unknown;2;4;3;3;2;;3;1;3;1;2;1;1;5;4;5;3;2;1;2;3;2;5;5;4;1;3;4;1;1;3;4;3;5;2;1;3;1;4;3;1;2;1;;4;1;5;1;1;3;1;;1;1;5;1;4;1;1;3;3;1;5;1;1;;1;4;1;4;1;1;1;2;1;1;;3;3;1;1;1;4;3;4;1;1;4;1;3;3;5;3;1;3;3;4;3;3;1;2;1;1;4;1;2;1;5;1;1;2;2;3;1;4;5;3;1;1;4;1;5;4;4;;2;1;3;5;5;3;2;3;3;5;1;5;2;1,657777801;-0,523473337;-0,782662715;-1,044756665;-1,678014902;-0,403476006;-0,366569072
4212;Turkish_Angora;Male;3,416837782;YES;No;5;4;1;4;3;1;5;4;2;1;1;5;2;2;1;1;3;1;3;5;2;1;4;4;5;1;5;2;3;1;4;1;5;4;3;1;1;4;1;2;1;3;1;;5;1;5;1;1;4;3;1;1;3;1;1;4;3;1;4;3;1;5;1;;;1;1;5;5;5;;1;2;1;3;1;;5;1;1;1;1;3;5;;1;4;1;;5;;3;1;5;2;1;2;1;1;1;1;;5;1;5;5;4;4;1;5;3;3;2;3;4;3;1;1;5;1;3;4;1;4;4;;5;5;1;4;4;4;2;3;1;5;3;-1,171896216;-0,52560545;0,294602233;0,630396849;-0,114045627;-0,21701896;-0,613348635
4213;Siberian_and_Neva_Masquerade;Male;6,754277892;NO;No;5;4;4;5;4;3;5;4;2;1;1;4;4;5;4;5;4;5;5;5;;1;1;4;5;1;5;;1;1;1;5;4;5;;;1;1;5;1;1;2;;1;5;1;5;1;3;5;5;1;1;3;1;1;5;;1;4;5;1;4;;1;;;2;1;;;;1;2;1;4;1;;5;1;1;1;4;5;5;1;1;4;1;;;5;4;1;5;;1;5;;1;4;1;1;5;2;5;5;3;1;;;;3;1;4;5;;2;1;5;1;;5;1;;3;5;4;5;5;5;;;5;5;1;5;5;0,101912606;-0,818519687;0,313058083;0,117845306;1,334392666;-0,145929976;-0,360141013
4214;House_cat;Male;5,072080292;YES;A_little;5;5;5;2;3;2;5;2;1;1;1;4;3;4;2;5;4;5;5;5;2;1;4;5;4;1;5;1;;1;4;5;5;5;5;;1;4;5;5;1;1;1;1;5;1;3;1;4;5;5;1;1;1;1;1;5;1;1;4;1;1;5;1;;;1;1;3;5;5;;1;1;1;4;1;5;5;1;1;1;4;5;5;;1;2;4;;5;5;5;1;5;3;1;5;2;1;5;1;1;5;4;3;4;5;;1;5;1;1;1;4;5;;1;1;5;1;1;5;4;;4;1;4;5;2;5;1;2;2;5;1;4;1;-0,066834434;-0,68927218;0,84755566;1,532927511;-0,197615476;-0,538619363;-0,703349318
